2026-04-11T21:53:26.722928752 | Name: Anonymous | Score: 10/10
2026-04-12T21:48:35.118705263 | Name: Anonymous | Score: 9/10
2026-04-12T21:49:17.195328419 | Name: Amason+ | Score: 9/10
2026-04-12T21:49:43.113308421 | Name: Allan+ | Score: 7/10
2026-04-12T21:49:59.897714806 | Name: Allan+ | Score: 7/10
2026-04-14T20:51:28.668972562 | Name: Anonymous | Score: 7/10
2026-08-06T19:53:37.539919304 | Name: Anonymous | Score: 8/10
2026-08-06T19:54:13.132115537 | Name: Allan+ | Score: 8/10
2026-08-06T19:54:56.122193693 | Name: Joy | Score: 6/10
2026-08-06T19:55:49.538610004 | Name: Ben | Score: 3/10
